InitialRed,RedKillBlueRate,InitialBlue,BlueKillRedRate,FinalRed,FinalBlue,BattleDuration
96,0.06000,86,0.05500,56,0,19.44388
91,0.04500,88,0.06250,0,36,22.62471
93,0.04880,71,0.05000,60,0,26.23539
94,0.05250,76,0.08000,0,25,25.86942
105,0.05880,79,0.04500,74,0,15.23952
110,0.04630,78,0.07250,69,0,17.30830
103,0.04380,90,0.05250,0,5,79.89641
101,0.05750,85,0.07750,61,0,18.75782
100,0.05000,80,0.06000,49,0,23.26303
104,0.04000,74,0.06500,34,0,36.13270
109,0.05500,73,0.05750,80,0,15.15398
108,0.05130,89,0.07000,0,42,23.68440
106,0.04750,84,0.04000,75,0,22.57013
95,0.04130,81,0.07500,0,22,27.99818
90,0.05380,83,0.04750,45,0,25.09483
98,0.05630,70,0.06750,66,0,14.25515
99,0.04250,75,0.04250,57,0,26.07162
96,0.06000,86,0.05500,62,0,18.41745
91,0.04500,88,0.06250,0,47,27.67407
93,0.04880,71,0.05000,67,0,18.20302
94,0.05250,76,0.08000,0,25,23.67870
105,0.05880,79,0.04500,73,0,15.97880
110,0.04630,78,0.07250,55,0,23.86102
103,0.04380,90,0.05250,0,24,36.84429
101,0.05750,85,0.07750,34,0,26.08521
100,0.05000,80,0.06000,57,0,23.77705
104,0.04000,74,0.06500,54,0,25.95869
109,0.05500,73,0.05750,87,0,14.05250
108,0.05130,89,0.07000,30,0,30.29824
106,0.04750,84,0.04000,77,0,18.19540
95,0.04130,81,0.07500,0,47,23.05114
90,0.05380,83,0.04750,31,0,35.44346
98,0.05630,70,0.06750,49,0,21.38359
99,0.04250,75,0.04250,74,0,23.51268
96,0.06000,86,0.05500,45,0,22.84988
91,0.04500,88,0.06250,0,48,20.83159
93,0.04880,71,0.05000,50,0,19.49641
94,0.05250,76,0.08000,19,0,35.19759
105,0.05880,79,0.04500,57,0,19.97523
110,0.04630,78,0.07250,75,0,16.92200
103,0.04380,90,0.05250,52,0,24.94060
101,0.05750,85,0.07750,0,20,36.80658
100,0.05000,80,0.06000,31,0,33.04322
104,0.04000,74,0.06500,23,0,45.43523
109,0.05500,73,0.05750,78,0,16.60497
108,0.05130,89,0.07000,0,22,35.56362
106,0.04750,84,0.04000,70,0,22.83989
95,0.04130,81,0.07500,0,47,19.92309
90,0.05380,83,0.04750,33,0,29.04779
98,0.05630,70,0.06750,52,0,20.04364
99,0.04250,75,0.04250,68,0,23.14577
96,0.06000,86,0.05500,41,0,25.01250
91,0.04500,88,0.06250,0,48,22.74776
93,0.04880,71,0.05000,47,0,26.32827
94,0.05250,76,0.08000,12,0,38.82193
105,0.05880,79,0.04500,84,0,14.43169
110,0.04630,78,0.07250,54,0,23.01458
103,0.04380,90,0.05250,47,0,30.27541
101,0.05750,85,0.07750,0,23,30.35341
100,0.05000,80,0.06000,54,0,21.85210
104,0.04000,74,0.06500,43,0,29.82372
109,0.05500,73,0.05750,71,0,17.61433
108,0.05130,89,0.07000,41,0,23.10804
106,0.04750,84,0.04000,70,0,24.97541
95,0.04130,81,0.07500,0,30,25.96730
90,0.05380,83,0.04750,0,22,39.71059
98,0.05630,70,0.06750,46,0,18.80078
99,0.04250,75,0.04250,68,0,26.53385
96,0.06000,86,0.05500,58,0,18.84388
91,0.04500,88,0.06250,0,54,20.35378
93,0.04880,71,0.05000,59,0,17.83623
94,0.05250,76,0.08000,28,0,29.06730
105,0.05880,79,0.04500,88,0,14.50736
110,0.04630,78,0.07250,55,0,21.12416
103,0.04380,90,0.05250,58,0,25.24099
101,0.05750,85,0.07750,53,0,19.94837
100,0.05000,80,0.06000,58,0,23.93874
104,0.04000,74,0.06500,46,0,23.24221
109,0.05500,73,0.05750,56,0,18.72557
108,0.05130,89,0.07000,0,8,54.33193
106,0.04750,84,0.04000,73,0,25.01413
95,0.04130,81,0.07500,0,38,30.93900
90,0.05380,83,0.04750,38,0,30.35022
98,0.05630,70,0.06750,64,0,18.90549
99,0.04250,75,0.04250,44,0,39.56242
96,0.06000,86,0.05500,54,0,20.08396
91,0.04500,88,0.06250,0,30,28.67744
93,0.04880,71,0.05000,64,0,20.88606
94,0.05250,76,0.08000,0,47,17.22570
105,0.05880,79,0.04500,86,0,14.83935
110,0.04630,78,0.07250,0,27,27.54108
103,0.04380,90,0.05250,39,0,32.52966
101,0.05750,85,0.07750,70,0,16.31213
100,0.05000,80,0.06000,46,0,24.51996
104,0.04000,74,0.06500,33,0,36.14544
109,0.05500,73,0.05750,81,0,15.70254
108,0.05130,89,0.07000,0,12,47.26691
106,0.04750,84,0.04000,61,0,23.49249
95,0.04130,81,0.07500,0,33,24.07464
90,0.05380,83,0.04750,42,0,25.05544
98,0.05630,70,0.06750,55,0,18.02656
99,0.04250,75,0.04250,64,0,23.77175
96,0.06000,86,0.05500,58,0,17.58956
91,0.04500,88,0.06250,0,26,34.99169
93,0.04880,71,0.05000,68,0,16.24104
94,0.05250,76,0.08000,27,0,28.01827
105,0.05880,79,0.04500,88,0,13.34909
110,0.04630,78,0.07250,73,0,16.88910
103,0.04380,90,0.05250,16,0,57.80639
101,0.05750,85,0.07750,0,25,27.53735
100,0.05000,80,0.06000,54,0,22.41942
104,0.04000,74,0.06500,63,0,23.68963
109,0.05500,73,0.05750,91,0,15.36220
108,0.05130,89,0.07000,49,0,24.59311
106,0.04750,84,0.04000,66,0,17.68293
95,0.04130,81,0.07500,34,0,35.81515
90,0.05380,83,0.04750,31,0,36.52633
98,0.05630,70,0.06750,70,0,15.50837
99,0.04250,75,0.04250,72,0,21.49665
96,0.06000,86,0.05500,46,0,21.62224
91,0.04500,88,0.06250,0,26,34.58352
93,0.04880,71,0.05000,55,0,26.78065
94,0.05250,76,0.08000,0,17,31.37389
105,0.05880,79,0.04500,76,0,18.12306
110,0.04630,78,0.07250,61,0,20.66889
103,0.04380,90,0.05250,33,0,45.71354
101,0.05750,85,0.07750,60,0,17.75909
100,0.05000,80,0.06000,67,0,18.53866
104,0.04000,74,0.06500,72,0,20.80841
109,0.05500,73,0.05750,75,0,15.10314
108,0.05130,89,0.07000,32,0,34.76604
106,0.04750,84,0.04000,69,0,21.72875
95,0.04130,81,0.07500,0,35,26.02992
90,0.05380,83,0.04750,50,0,22.64557
98,0.05630,70,0.06750,69,0,13.81730
99,0.04250,75,0.04250,65,0,25.98976
96,0.06000,86,0.05500,44,0,23.96734
91,0.04500,88,0.06250,0,52,24.93717
93,0.04880,71,0.05000,66,0,15.50795
94,0.05250,76,0.08000,0,18,29.66641
105,0.05880,79,0.04500,79,0,13.10223
110,0.04630,78,0.07250,57,0,24.44030
103,0.04380,90,0.05250,33,0,36.81182
101,0.05750,85,0.07750,56,0,18.54748
100,0.05000,80,0.06000,43,0,27.91674
104,0.04000,74,0.06500,70,0,17.34148
109,0.05500,73,0.05750,77,0,15.23828
108,0.05130,89,0.07000,40,0,30.69664
106,0.04750,84,0.04000,62,0,26.74395
95,0.04130,81,0.07500,0,39,24.43745
90,0.05380,83,0.04750,36,0,35.17428
98,0.05630,70,0.06750,56,0,20.79797
99,0.04250,75,0.04250,41,0,33.82796
96,0.06000,86,0.05500,66,0,16.83130
91,0.04500,88,0.06250,0,21,36.85675
93,0.04880,71,0.05000,59,0,16.67997
94,0.05250,76,0.08000,40,0,19.04722
105,0.05880,79,0.04500,83,0,15.65996
110,0.04630,78,0.07250,38,0,28.75001
103,0.04380,90,0.05250,0,29,31.06299
101,0.05750,85,0.07750,0,21,35.23046
100,0.05000,80,0.06000,24,0,38.59778
104,0.04000,74,0.06500,35,0,33.75700
109,0.05500,73,0.05750,86,0,15.27246
108,0.05130,89,0.07000,0,52,20.19982
106,0.04750,84,0.04000,67,0,24.20384
95,0.04130,81,0.07500,0,38,23.25280
90,0.05380,83,0.04750,51,0,19.23574
98,0.05630,70,0.06750,44,0,20.96332
99,0.04250,75,0.04250,80,0,17.60523
96,0.06000,86,0.05500,58,0,18.71322
91,0.04500,88,0.06250,0,22,38.35367
93,0.04880,71,0.05000,67,0,17.01354
94,0.05250,76,0.08000,32,0,23.69524
105,0.05880,79,0.04500,80,0,13.77234
110,0.04630,78,0.07250,66,0,21.88405
103,0.04380,90,0.05250,35,0,37.10873
101,0.05750,85,0.07750,28,0,27.28646
100,0.05000,80,0.06000,46,0,24.56324
104,0.04000,74,0.06500,57,0,23.31095
109,0.05500,73,0.05750,77,0,16.61351
108,0.05130,89,0.07000,49,0,27.57071
106,0.04750,84,0.04000,50,0,29.30980
95,0.04130,81,0.07500,0,17,33.53921
90,0.05380,83,0.04750,47,0,23.31788
98,0.05630,70,0.06750,37,0,19.84767
99,0.04250,75,0.04250,73,0,20.02298
96,0.06000,86,0.05500,54,0,21.28904
91,0.04500,88,0.06250,0,45,21.75019
93,0.04880,71,0.05000,63,0,18.93212
94,0.05250,76,0.08000,32,0,26.76658
105,0.05880,79,0.04500,69,0,20.30465
110,0.04630,78,0.07250,49,0,24.49959
103,0.04380,90,0.05250,57,0,25.40453
101,0.05750,85,0.07750,44,0,23.18973
100,0.05000,80,0.06000,36,0,30.95001
104,0.04000,74,0.06500,32,0,38.07345
109,0.05500,73,0.05750,94,0,9.91286
108,0.05130,89,0.07000,28,0,31.08159
106,0.04750,84,0.04000,79,0,20.94904
95,0.04130,81,0.07500,0,33,25.46658
90,0.05380,83,0.04750,49,0,24.24523
98,0.05630,70,0.06750,55,0,19.81641
99,0.04250,75,0.04250,63,0,26.26768
96,0.06000,86,0.05500,57,0,17.49506
91,0.04500,88,0.06250,0,38,23.77862
93,0.04880,71,0.05000,69,0,16.22369
94,0.05250,76,0.08000,0,33,28.08963
105,0.05880,79,0.04500,90,0,13.81189
110,0.04630,78,0.07250,31,0,29.98942
103,0.04380,90,0.05250,56,0,28.06155
101,0.05750,85,0.07750,0,14,38.32261
100,0.05000,80,0.06000,42,0,26.07386
104,0.04000,74,0.06500,16,0,53.07549
109,0.05500,73,0.05750,73,0,16.41178
108,0.05130,89,0.07000,36,0,30.33805
106,0.04750,84,0.04000,55,0,26.02242
95,0.04130,81,0.07500,23,0,34.32722
90,0.05380,83,0.04750,60,0,20.25412
98,0.05630,70,0.06750,62,0,20.01668
99,0.04250,75,0.04250,69,0,21.31445
96,0.06000,86,0.05500,51,0,25.25370
91,0.04500,88,0.06250,0,45,21.38344
93,0.04880,71,0.05000,51,0,21.07397
94,0.05250,76,0.08000,0,39,17.15392
105,0.05880,79,0.04500,88,0,13.78500
110,0.04630,78,0.07250,19,0,45.40004
103,0.04380,90,0.05250,0,57,24.91125
101,0.05750,85,0.07750,36,0,24.61330
100,0.05000,80,0.06000,64,0,18.17839
104,0.04000,74,0.06500,65,0,17.98803
109,0.05500,73,0.05750,76,0,14.57329
108,0.05130,89,0.07000,35,0,27.17785
106,0.04750,84,0.04000,75,0,18.04789
95,0.04130,81,0.07500,0,30,25.78034
90,0.05380,83,0.04750,52,0,24.85460
98,0.05630,70,0.06750,63,0,15.56430
99,0.04250,75,0.04250,71,0,21.63089
96,0.06000,86,0.05500,67,0,17.53780
91,0.04500,88,0.06250,0,32,31.23927
93,0.04880,71,0.05000,60,0,17.60051
94,0.05250,76,0.08000,0,32,21.70385
105,0.05880,79,0.04500,86,0,14.89962
110,0.04630,78,0.07250,38,0,27.80681
103,0.04380,90,0.05250,43,0,34.21346
101,0.05750,85,0.07750,0,27,28.07735
