eta_1,eta_2,gam_1,gam_2,c_i,c_o,eps_lam,c_lam,del_0,stp,mdl_typ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,1,4,0.41121,0.30883,0.057165,0.27684,0.17337,0.26843,0.2804,0.34754,0.19912,0.38441,1,1,0.02507,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,1,5,0.41189,0.30911,0.057165,0.27708,0.17337,0.26864,0.2804,0.34754,0.20185,0.38441,1,1,0.02507,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0.18,0.9,0.12,1.38,2,1,2.25,0.63,0.82,1,6,0.41189,0.30911,0.058869,0.27708,0.17585,0.26864,0.29735,0.34205,0.20185,0.38366,1,1,0.02507,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,0,1,0.31455,0.39488,0.10137,0.38202,0.11527,0.38577,0.17305,0.39929,0.29979,0.15562,1,1,1,1,1,1,0.40631,1,1,1,0,0,0,0,0,0,1,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,0,2,0.39229,0.39881,0.39009,0.37562,0.34659,0.38381,0.37999,0.3818,0.36258,0.38215,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,0,3,0.36716,0.29266,0.3308,0.36219,0.3004,0.37167,0.35969,0.37532,0.34629,0.34487,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,0,4,0.31455,0.39488,0.10137,0.38202,0.11527,0.38577,0.17305,0.39929,0.29979,0.15562,1,1,1,1,1,1,0.40631,1,1,1,0,0,0,0,0,0,1,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,0,5,0.31454,0.39488,0.10137,0.38201,0.11527,0.38577,0.17404,0.39929,0.29978,0.15562,1,1,1,1,1,1,0.40628,1,1,1,0,0,0,0,0,0,1,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,0,6,0.31442,0.4103,0.10131,0.39552,0.11343,0.39173,0.41223,0.40436,0.30209,0.15549,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,1,1,0.30933,0.39082,0.31724,0.392,0.28399,0.13328,0.035742,0.24957,0.17286,0.29641,1,1,1,1,1,0.4295,0.1397,1,1,1,0,0,0,0,0,1,1,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,1,2,0.35497,0.35455,0.37354,0.37967,0.36937,0.36339,0.3656,0.36889,0.35472,0.34614,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,1,3,0.30833,0.40515,0.33194,0.3107,0.29849,0.34818,0.35686,0.3417,0.32779,0.30588,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,1,4,0.30933,0.39082,0.31724,0.392,0.28399,0.13328,0.035742,0.24957,0.17286,0.29641,1,1,1,1,1,0.4295,0.1397,1,1,1,0,0,0,0,0,1,1,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,1,5,0.30933,0.39082,0.31724,0.392,0.28399,0.13328,0.035742,0.24957,0.17286,0.29641,1,1,1,1,1,0.4295,0.1397,1,1,1,0,0,0,0,0,1,1,0,0,0
0.18,0.51,0.82,1.16,0,2,2.16,0.07,0.29,1,6,0.34032,0.40529,0.34528,0.40015,0.31504,0.13283,0.035408,0.2534,0.17234,0.3274,1,1,1,1,1,0.42601,0.13857,1,1,1,0,0,0,0,0,1,1,0,0,0
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,0,1,0.067537,0.024246,0.054985,0.011652,0.17509,0.17048,0.047029,0.024167,0.14695,0.14475,0.12537,0.0439,0.069133,0.0453,1,1,0.075233,0.069733,1,1,1,1,1,1,0,0,1,1,0,0
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,0,2,0.11743,0.073863,0.087011,0.053473,0.10696,0.091284,0.12007,0.15036,0.084719,0.16831,0.51458,0.2696,0.32246,0.18685,0.44479,0.3801,0.58835,0.75877,0.26987,1,1,1,1,1,1,1,1,1,1,0
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,0,3,0.036128,-0.00077743,0.017592,0.0040097,0.0037355,0.011086,0.0015893,0.063833,0.0047469,0.0064396,0.084121,0.048868,0.048868,0.048868,0.048868,0.058788,0.070539,0.13452,0.039814,0.058788,1,1,1,1,1,1,1,1,1,1
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,0,4,0.067537,0.024246,0.054985,0.011652,0.17509,0.17048,0.047029,0.024167,0.14695,0.14475,0.12537,0.0439,0.069133,0.0453,1,1,0.075233,0.069733,1,1,1,1,1,1,0,0,1,1,0,0
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,0,5,0.067537,0.024246,0.054985,0.011652,0.17509,0.17048,0.047029,0.024167,0.14695,0.14475,0.12537,0.0439,0.069133,0.0453,1,1,0.075233,0.069733,1,1,1,1,1,1,0,0,1,1,0,0
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,0,6,0.067419,0.016657,0.036193,0.018837,0.17509,0.17047,0.045457,0.057758,0.14693,0.14446,0.12473,0.043679,0.12915,0.045072,1,1,0.074854,0.20642,1,1,1,1,1,1,0,0,1,1,0,0
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,1,1,0.01632,0.0069745,0.12807,0.012636,0.14392,0.10106,0.11609,0.29404,0.044155,0.080811,0.067,0.041733,1,0.043033,1,1,1,1,0.036467,0.097233,1,1,0,1,0,0,0,0,1,1
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,1,2,0.074839,0.070795,0.075099,0.053319,0.10281,0.097802,0.12035,0.16429,0.078023,0.1434,0.31974,0.26904,0.22352,0.18657,0.44862,0.37364,0.59024,1,0.26865,0.66304,1,1,1,1,1,1,1,0,1,1
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,1,3,0.04091,0.0008601,0.031959,0.0042019,0.003717,0.00034722,0.0012207,0.06951,0.0042203,0.0066788,0.084904,0.048802,0.048802,0.048802,0.048802,0.058708,0.070443,0.1354,0.039759,0.058708,1,1,1,1,1,1,1,1,1,1
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,1,4,0.01632,0.0069745,0.12807,0.012636,0.14392,0.10106,0.11609,0.29404,0.044155,0.080811,0.067,0.041733,1,0.043033,1,1,1,1,0.036467,0.097233,1,1,0,1,0,0,0,0,1,1
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,1,5,0.01632,0.0069745,0.12807,0.012636,0.14392,0.10106,0.11609,0.29404,0.044155,0.080811,0.067,0.041733,1,0.043033,1,1,1,1,0.036467,0.097233,1,1,0,1,0,0,0,0,1,1
0.12,0.81,0.9,1.41,4,1,2.44,0.13,0.4,1,6,0.01632,0.012868,0.12807,0.010766,0.14392,0.10106,0.11609,0.29404,0.044155,0.080811,0.067,0.041733,1,0.043033,1,1,1,1,0.036467,0.097233,1,1,0,1,0,0,0,0,1,1
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,0,1,0.4516,0.34833,0.45085,0.44634,0.45034,0.44414,0.44805,0.42726,0.44523,0.42841,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
